,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_90_1,FP_90_4,FP_90_3,FP_90_5,FP_90_2,FP_50_1,FP_50_5,FP_50_4,FP_50_3,FP_50_2,FP_75_5,FP_75_1,FP_75_3,FP_75_4,FP_75_2
908,INPUT_LN2_90_5.txt,OUTPUT_S_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
909,INPUT_LN2_90_5.txt,OUTPUT_SKIN1_90_5.txt,3,0.060139955,0.055425232,0.055451842,0.05544772,0.055432281,0.055448157,0.026326103,0.026326102,0.026333957,0.026333958,0.026326096,0.056002206,0.056001287,0.055983921,0.056009915,0.056002962
910,INPUT_LN2_90_5.txt,OUTPUT_SKIN10_90_5.txt,3,0.037495511,0.037258098,0.037275729,0.037273215,0.037262662,0.037273172,0.026583513,0.026583512,0.026591555,0.026591556,0.026583833,0.042340659,0.042340429,0.042326946,0.042346832,0.042341231
911,INPUT_LN2_90_5.txt,OUTPUT_SKIN11_90_5.txt,3,0.102667088,0.100765283,0.100794458,0.100787372,0.100746798,0.100794302,0.088100016,0.08809998,0.088126659,0.088126677,0.088101028,0.116315335,0.116316934,0.116279132,0.116329287,0.116319589
912,INPUT_LN2_90_5.txt,OUTPUT_SKIN12_90_5.txt,3,0.299502489,0.327212644,0.327413889,0.327512763,0.327368487,0.327388982,0.366497586,0.366496833,0.366606856,0.366611301,0.366504971,0.464597574,0.464570232,0.464435806,0.464689309,0.464605103
913,INPUT_LN2_90_5.txt,OUTPUT_SKIN2_90_5.txt,3,1.313774259,1.341412767,1.340945501,1.341663402,1.340513718,1.342006257,1.160355344,1.160610108,1.161107198,1.160796493,1.160988308,1.194163372,1.19431914,1.193686698,1.194900775,1.194509421
914,INPUT_LN2_90_5.txt,OUTPUT_SKIN3_90_5.txt,3,0.036587736,0.035935936,0.035956072,0.035970177,0.035946249,0.035958794,0.027917698,0.027917698,0.02792614,0.027926141,0.027918035,0.033875731,0.033869683,0.033852497,0.033868804,0.033870596
915,INPUT_LN2_90_5.txt,OUTPUT_SKIN4_90_5.txt,3,0.122097718,0.124989735,0.125051669,0.125029683,0.124977256,0.125010729,0.116225785,0.116241507,0.116274114,0.116271992,0.116238652,0.116322087,0.116305208,0.116269586,0.116321143,0.116281636
916,INPUT_LN2_90_5.txt,OUTPUT_SKIN5_90_5.txt,3,0.185530721,0.178721453,0.178795003,0.17880595,0.178709323,0.178737377,0.124538618,0.124538612,0.124576247,0.12457625,0.124540114,0.176320682,0.176319716,0.176263655,0.176346477,0.176323068
917,INPUT_LN2_90_5.txt,OUTPUT_SKIN6_90_5.txt,3,0.092238772,0.09890277,0.098947721,0.098967498,0.098927114,0.098957289,0.291967424,0.291956739,0.292035342,0.292057716,0.291957811,0.105480896,0.105477571,0.105464499,0.105513211,0.10547468
918,INPUT_LN2_90_5.txt,OUTPUT_SKIN7_90_5.txt,3,0.120068409,0.129120919,0.129181217,0.129173677,0.12914869,0.129184508,0.237348252,0.237331029,0.237414068,0.237403093,0.237334831,0.090987727,0.090986213,0.090958242,0.09100504,0.090979124
919,INPUT_LN2_90_5.txt,OUTPUT_SKIN8_90_5.txt,3,0.088051234,0.086777244,0.086803619,0.086696263,0.086688637,0.086713315,0.052778224,0.052719959,0.052726922,0.052789026,0.052776162,0.067060251,0.066974812,0.067024691,0.06706415,0.067050727
920,INPUT_LN2_90_5.txt,OUTPUT_SKIN9_90_5.txt,3,0.077869153,0.079205521,0.079242997,0.07923765,0.07921523,0.07923756,0.100902426,0.100902427,0.100932941,0.10093294,0.100903648,0.134937285,0.134936555,0.134893612,0.134956989,0.134939106
921,INPUT_LUNG_90_5.txt,OUTPUT_BM1_90_5.txt,3,0.585293419,0.617960088,0.618553665,0.618923634,0.618690455,0.618428957,0.722151596,0.722233839,0.722377865,0.722865391,0.723005002,0.652892327,0.653603501,0.653972569,0.653684239,0.653223671
922,INPUT_LUNG_90_5.txt,OUTPUT_BM2_90_5.txt,3,2.628304281,2.213176265,2.212642755,2.213290512,2.214009447,2.214915721,2.666761652,2.665943371,2.666896115,2.667076231,2.665605507,2.302881965,2.305212596,2.303741021,2.30347012,2.302973704
923,INPUT_LUNG_90_5.txt,OUTPUT_GUT_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,INPUT_LUNG_90_5.txt,OUTPUT_L_90_5.txt,3,3.605009169,3.490948979,3.494002942,3.491761422,3.492378596,3.494338592,3.382682142,3.38608923,3.385788762,3.385707795,3.38311258,3.423984276,3.424698249,3.424570212,3.42454283,3.424432864
