,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_1,FP_5,FP_4,FP_3,FP_2
126,INPUT_LUNG_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.063250251,0.280041858,0.280213668,0.28005026,0.280179701,0.280113132
127,INPUT_LUNG_90_5.txt,OUTPUT_LUNG_90_5.txt,1,-701818.5,-352288,-352162.5,-352299.5,-352145,-352274.5
128,INPUT_LUNG_90_5.txt,OUTPUT_S_90_5.txt,1,8.816206771,NA,NA,NA,NA,NA
129,INPUT_LUNG_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,0.710728395,0.582844714,0.583052402,0.582826537,0.583080485,0.582867122
130,INPUT_LUNG_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.408621604,0.330955946,0.331074469,0.330945501,0.331090742,0.330968666
131,INPUT_LUNG_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.425509616,0.647840652,0.648103954,0.647812278,0.647813139,0.64790948
132,INPUT_LUNG_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,1.668726538,7.641611622,7.648677117,7.643582368,7.649169058,7.64411242
133,INPUT_LUNG_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,17.82265376,38.46166779,38.48259092,38.46402388,38.47587822,38.46991576
134,INPUT_LUNG_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.1290483,0.283877168,0.283972676,0.283872888,0.284005112,0.283888129
135,INPUT_LUNG_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.168773614,0.308980112,0.309091877,0.308970034,0.309107162,0.308992082
136,INPUT_LUNG_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,126.1408954,115.7168394,115.7606887,115.7120735,115.7711174,115.7222689
137,INPUT_LUNG_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.234460535,0.425535013,0.425690757,0.425524473,0.425711948,0.425551332
138,INPUT_LUNG_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,10.7089653,13.55175629,13.55631382,13.53904365,13.5532726,13.53969999
139,INPUT_LUNG_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,2.874061919,5.167167038,5.16801098,5.170595349,5.172710944,5.171658934
140,INPUT_LUNG_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,119.8351388,105.6415648,105.6181347,105.6249404,105.6367413,105.6472917
141,INPUT_S_90_5.txt,OUTPUT_BM1_90_5.txt,1,106.6401968,NA,NA,NA,NA,NA
142,INPUT_S_90_5.txt,OUTPUT_BM2_90_5.txt,1,112.3182755,NA,NA,NA,NA,NA
143,INPUT_S_90_5.txt,OUTPUT_GUT_90_5.txt,1,41.77350414,NA,NA,NA,NA,NA
144,INPUT_S_90_5.txt,OUTPUT_L_90_5.txt,1,406.7239418,NA,NA,NA,NA,NA
145,INPUT_S_90_5.txt,OUTPUT_LN1_90_5.txt,1,1.441275928,NA,NA,NA,NA,NA
146,INPUT_S_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.580751185,NA,NA,NA,NA,NA
147,INPUT_S_90_5.txt,OUTPUT_LUNG_90_5.txt,1,1.688149448,NA,NA,NA,NA,NA
148,INPUT_S_90_5.txt,OUTPUT_S_90_5.txt,1,-49066.5,NA,NA,NA,NA,NA
149,INPUT_S_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,1.141147476,NA,NA,NA,NA,NA
150,INPUT_S_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.365624746,NA,NA,NA,NA,NA
151,INPUT_S_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,1.28686799,NA,NA,NA,NA,NA
152,INPUT_S_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.229731402,NA,NA,NA,NA,NA
153,INPUT_S_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.763496033,NA,NA,NA,NA,NA
154,INPUT_S_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.825034295,NA,NA,NA,NA,NA
155,INPUT_S_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.491159875,NA,NA,NA,NA,NA
156,INPUT_S_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,1.157008903,NA,NA,NA,NA,NA
157,INPUT_S_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.954100178,NA,NA,NA,NA,NA
158,INPUT_S_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,1.6314584,NA,NA,NA,NA,NA
159,INPUT_S_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,1.477399416,NA,NA,NA,NA,NA
160,INPUT_S_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,1.055927285,NA,NA,NA,NA,NA
161,INPUT_SKIN1_90_5.txt,OUTPUT_BM1_90_5.txt,1,2.310683296,2.119894969,2.118541062,2.118333722,2.117713873,2.118785203
162,INPUT_SKIN1_90_5.txt,OUTPUT_BM2_90_5.txt,1,2.650580491,2.624652458,2.62630478,2.624652458,2.625097872,2.62558422
163,INPUT_SKIN1_90_5.txt,OUTPUT_GUT_90_5.txt,1,0.415861306,0.342857047,0.342898011,0.342882919,0.342900167,0.342934664
164,INPUT_SKIN1_90_5.txt,OUTPUT_L_90_5.txt,1,4.086114787,3.795239971,3.795347899,3.795140655,3.795497889,3.794363826
165,INPUT_SKIN1_90_5.txt,OUTPUT_LN1_90_5.txt,1,1.171642905,1.162449673,1.163332818,1.162690851,1.16275607,1.162747101
166,INPUT_SKIN1_90_5.txt,OUTPUT_LN2_90_5.txt,1,0.061022243,0.079193331,0.079216479,0.079196919,0.079197092,0.079213093
167,INPUT_SKIN1_90_5.txt,OUTPUT_LUNG_90_5.txt,1,0.865306022,1.070501423,1.069957549,1.070833498,1.069664475,1.070667183
168,INPUT_SKIN1_90_5.txt,OUTPUT_S_90_5.txt,1,4.39101595,NA,NA,NA,NA,NA
169,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,-565342,-283380,-283380,-283380,-283380,-283380
170,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.057680654,0.05697316,0.05697316,0.05697316,0.05697316,0.05697316
171,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.126215612,0.116643493,0.116651376,0.116641962,0.116589535,0.116653932
172,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.021032543,0.018870765,0.018870765,0.018870765,0.018870765,0.018870765
173,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.137574215,0.148096122,0.148096122,0.148097422,0.148096772,0.148096772
174,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.086621007,0.089967046,0.089965128,0.089968585,0.089970888,0.089967041
175,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.087970983,0.118844373,0.118841172,0.118840747,0.118844799,0.118841364
