"","matched","unmatched","canonical"
"M24SKIN2_90_2.txt",945533,32376,897243
"M24SKIN3_90_2.txt",434458,22675,428393
"M24SKIN4_90_2.txt",894140,31091,869429
"M24SKIN5_90_2.txt",811653,38715,807107
"M24SKIN6_90_2.txt",1365546,48849,1324095
"M24SKIN7_90_2.txt",1071363,37685,1053060
"M24SKIN8_90_2.txt",1035134,41748,1004493
"M24SKIN9_90_2.txt",2867216,106021,2779740
"M25BM1_90_2.txt",820908,27944,816158
"M25BM2_90_2.txt",1012961,33483,1004276
"M25GUT_90_2.txt",2172,70,1949
"M25L_90_2.txt",668775,21823,667862
"M25LN1_90_2.txt",837595,28662,833772
"M25LN2_90_2.txt",882778,28961,828149
"M25LUNG_90_2.txt",989021,42545,944920
"M25S_90_2.txt",351264,10823,348345
"M25SKIN1_90_2.txt",948394,56962,912254
"M25SKIN10_90_2.txt",1079411,43912,982042
"M25SKIN11_90_2.txt",1362472,48800,1321812
"M25SKIN12_90_2.txt",1852877,65410,1769594
"M25SKIN2_90_2.txt",2623871,136129,2550771
"M25SKIN3_90_2.txt",368900,13137,348924
"M25SKIN4_90_2.txt",1156917,38916,1152886
"M25SKIN5_90_2.txt",2279330,78256,2219958
"M25SKIN6_90_2.txt",1261102,42869,1211151
"M25SKIN7_90_2.txt",1010457,35683,983720
"M25SKIN8_90_2.txt",1178954,42498,1137119
"M25SKIN9_90_2.txt",1505454,56810,1413742
"M2BM1_90_2.txt",1735265,58450,1712515
"M2BM2_90_2.txt",1225567,42368,1214481
"M2GUT_90_2.txt",4323,137,3946
"M2L_90_2.txt",2259904,76055,2231969
"M2LN1_90_2.txt",1088724,43327,1051707
"M2LN2_90_2.txt",905398,36999,866174
"M2LUNG_90_2.txt",800885,26906,795097
"M2S_90_2.txt",819446,27167,812318
"M2SKIN1_90_2.txt",969797,32905,967870
"M2SKIN10_90_2.txt",884218,100614,812370
"M2SKIN11_90_2.txt",854614,29217,839835
"M2SKIN12_90_2.txt",1036652,42283,1016855
"M2SKIN2_90_2.txt",728829,25341,721856
"M2SKIN3_90_2.txt",637555,30398,615812
"M2SKIN4_90_2.txt",1122955,40555,988590
"M2SKIN5_90_2.txt",933684,36019,911399
"M2SKIN6_90_2.txt",486754,16290,484231
"M2SKIN7_90_2.txt",1192724,40921,1158476
"M2SKIN8_90_2.txt",874649,29960,870448
"M2SKIN9_90_2.txt",748982,26944,737593
"M3BM1_90_2.txt",1192468,46068,1172578
"M3BM2_90_2.txt",1308064,44834,1294552
"M3GUT_90_2.txt",17896,603,17510
"M3L_90_2.txt",2182269,73409,2151869
"M3LN1_90_2.txt",142334,4892,141987
"M3LN2_90_2.txt",906377,36999,890186
"M3LUNG_90_2.txt",900165,30789,892179
"M3S_90_2.txt",4496,158,4025
"M3SKIN1_90_2.txt",910058,30645,878652
"M3SKIN10_90_2.txt",980139,34303,941087
"M3SKIN11_90_2.txt",739933,25046,733779
"M3SKIN12_90_2.txt",1057759,46468,1031345
"M3SKIN2_90_2.txt",845299,29178,833486
"M3SKIN3_90_2.txt",598707,20462,595027
"M3SKIN4_90_2.txt",1036920,36736,994887
"M3SKIN5_90_2.txt",848976,28504,844894
"M3SKIN6_90_2.txt",947405,32602,932705
"M3SKIN7_90_2.txt",940666,32295,906787
"M3SKIN8_90_2.txt",935725,35965,885792
"M3SKIN9_90_2.txt",757756,50066,746933
"M5BM1_90_2.txt",1977721,67457,1947589
"M5BM2_90_2.txt",1613722,53252,1595429
"M5GUT_90_2.txt",3853,105,3469
"M5L_90_2.txt",1924114,61877,1900341
"M5LN1_90_2.txt",794708,26258,784944
"M5LN2_90_2.txt",839821,27057,830063
"M5LUNG_90_2.txt",873180,35218,864891
"M5S_90_2.txt",2119047,70933,2088816
"M5SKIN1_90_2.txt",913117,31197,895805
"M5SKIN10_90_2.txt",1119468,52687,1097200
"M5SKIN11_90_2.txt",881043,30045,877998
"M5SKIN12_90_2.txt",1159345,39511,1115724
"M5SKIN2_90_2.txt",1361031,49946,1339177
"M5SKIN3_90_2.txt",907685,31314,905578
"M5SKIN4_90_2.txt",1007076,35401,959146
"M5SKIN5_90_2.txt",909393,48643,907940
"M5SKIN6_90_2.txt",1200329,45390,1167178
"M5SKIN7_90_2.txt",992554,32826,960139
"M5SKIN8_90_2.txt",1040231,46265,1032470
"M5SKIN9_90_2.txt",1141759,47496,1123011
"M6BM1_90_2.txt",944925,31133,934029
"M6BM2_90_2.txt",955032,32578,947788
"M6GUT_90_2.txt",136848,4293,136604
"M6L_90_2.txt",8082,248,7805
"M6LN1_90_2.txt",849905,29132,847854
"M6LN2_90_2.txt",1012954,33478,992345
"M6LUNG_90_2.txt",747217,26115,743032
"M6S_90_2.txt",39449,1423,39198
"M7BM1_90_2.txt",1297627,44233,1284439
"M7BM2_90_2.txt",1714599,56460,1698094
"M7GUT_90_2.txt",32891,1044,32765
"M7L_90_2.txt",651700,21523,646718
"M7LN1_90_2.txt",139504,4821,138817
"M7LN2_90_2.txt",153808,5026,153516
"M7LUNG_90_2.txt",989153,59695,945206
"M7S_90_2.txt",883582,28651,876715
"M8BM1_90_2.txt",1493404,51507,1477698
"M8BM2_90_2.txt",1624015,53597,1609554
"M8GUT_90_2.txt",12447,405,12330
"M8L_90_2.txt",4312,151,4109
"M8LN1_90_2.txt",930098,31167,923013
"M8LN2_90_2.txt",876108,28807,857369
"M8LUNG_90_2.txt",846287,147340,842748
"M8S_90_2.txt",1085603,34335,1077830
"M9BM1_90_2.txt",1061194,38155,1047756
"M9BM2_90_2.txt",675506,21666,669703
"M9GUT_90_2.txt",2213,65,2109
"M9L_90_2.txt",701964,23562,700594
"M9LN1_90_2.txt",73045,2462,72508
"M9LN2_90_2.txt",34402,1202,33809
"M9LUNG_90_2.txt",838528,27862,729781
"M9S_90_2.txt",240801,8037,237998
