,INPUT_POOL,OUTPUT_POOL,FP_5,mouse_ID,FP_1,FP_4,FP_3,FP_2,FP
1705,INPUT_LN2_90_5.txt,OUTPUT_BM1_90_5.txt,0.284721139,7,0.284877366,0.284692899,0.284598923,0.284718048,0.339901116
1706,INPUT_LN2_90_5.txt,OUTPUT_BM2_90_5.txt,5.3884776,7,5.385627337,5.386182319,5.388443026,5.387194053,5.475774585
1707,INPUT_LN2_90_5.txt,OUTPUT_GUT_90_5.txt,NA,7,NA,NA,NA,NA,NA
1708,INPUT_LN2_90_5.txt,OUTPUT_L_90_5.txt,9.112465877,7,9.111406966,9.116862843,9.109197119,9.112396817,9.409762617
1709,INPUT_LN2_90_5.txt,OUTPUT_LN1_90_5.txt,0.089482691,7,0.089482691,0.089482691,0.089482691,0.089482691,0.097653463
1710,INPUT_LN2_90_5.txt,OUTPUT_LN2_90_5.txt,-76754.5,7,-76754.5,-76754.5,-76754.5,-76754.5,-85282.5
1711,INPUT_LN2_90_5.txt,OUTPUT_LUNG_90_5.txt,0.061149707,7,0.061142528,0.061142353,0.061142674,0.061150343,0.063955327
1712,INPUT_LN2_90_5.txt,OUTPUT_S_90_5.txt,8.6732438,7,8.669761846,8.667347608,8.670106746,8.672356865,9.015076698
1713,INPUT_LUNG_90_5.txt,OUTPUT_BM1_90_5.txt,0.069114183,7,0.069161349,0.069116897,0.069093953,0.069112854,0.072635269
1714,INPUT_LUNG_90_5.txt,OUTPUT_BM2_90_5.txt,2.35287164,7,2.352386664,2.352556067,2.353182382,2.352485565,2.379134221
1715,INPUT_LUNG_90_5.txt,OUTPUT_GUT_90_5.txt,NA,7,NA,NA,NA,NA,NA
1716,INPUT_LUNG_90_5.txt,OUTPUT_L_90_5.txt,2.366598114,7,2.366739372,2.367717535,2.366353052,2.366565731,2.463323298
1717,INPUT_LUNG_90_5.txt,OUTPUT_LN1_90_5.txt,5.063652533,7,5.064356677,5.064356603,5.064334968,5.063609263,5.208797964
1718,INPUT_LUNG_90_5.txt,OUTPUT_LN2_90_5.txt,0.30650574,7,0.306548048,0.306548139,0.306546837,0.306503137,0.347889518
1719,INPUT_LUNG_90_5.txt,OUTPUT_LUNG_90_5.txt,-472595.5,7,-472530.5,-472530.5,-472532.5,-472599.5,-525282.5
1720,INPUT_LUNG_90_5.txt,OUTPUT_S_90_5.txt,2.92090893,7,2.920668764,2.920241653,2.9207417,2.920719291,3.032301497
1721,INPUT_S_90_5.txt,OUTPUT_BM1_90_5.txt,0.134654628,7,0.13476149,0.134696389,0.13462588,0.134661458,0.141225887
1722,INPUT_S_90_5.txt,OUTPUT_BM2_90_5.txt,59.65959727,7,59.63846012,59.65870064,59.6758769,59.64652892,61.60364986
1723,INPUT_S_90_5.txt,OUTPUT_GUT_90_5.txt,NA,7,NA,NA,NA,NA,NA
1724,INPUT_S_90_5.txt,OUTPUT_L_90_5.txt,1014.898077,7,1014.872577,1015.395799,1014.672382,1014.909176,1033.089679
