True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
1.958543399,2.110960215,50000000,20,0.0000001
2.02370788,2.111055451,50000000,20,0.0000001
3.968942149,4.742807305,50000000,20,0.0000001
6.028347165,5.532591659,50000000,20,0.0000001
2.979841903,3.348210097,50000000,20,0.0000001
3.018635271,3.352773931,50000000,20,0.0000001
3.91681743,2.963522375,50000000,20,0.0000001
4.042619941,2.874143311,50000000,20,0.0000001
8.097708515,12.65276444,50000000,20,0.0000001
4.981300789,6.324800802,50000000,20,0.0000001
3.043480478,3.350188628,50000000,20,0.0000001
5.907469802,4.219342206,50000000,20,0.0000001
5.062729164,4.024368489,50000000,20,0.0000001
9.116018289,8.546940767,50000000,20,0.0000001
4.940089027,4.148286387,50000000,20,0.0000001
10.08359652,10.39810576,50000000,20,0.0000001
6.951268625,7.026600538,50000000,20,0.0000001
8.06847701,8.802331991,50000000,20,0.0000001
5.874354133,8.139802648,50000000,20,0.0000001
2.94335738,1.863850902,50000000,20,0.0000001
5.862228022,5.455800431,50000000,20,0.0000001
5.917572769,5.63860941,50000000,20,0.0000001
5.87561663,5.60959264,50000000,20,0.0000001
8.034303489,12.65680243,50000000,20,0.0000001
4.986121158,3.037013345,50000000,20,0.0000001
2.963533556,3.351338007,50000000,20,0.0000001
2.001357217,2.108676872,50000000,20,0.0000001
3.019251498,1.882481277,50000000,20,0.0000001
5.043324764,6.328736841,50000000,20,0.0000001
6.13287579,8.137895309,50000000,20,0.0000001
5.145307608,6.331993503,50000000,20,0.0000001
2.963326267,3.352397979,50000000,20,0.0000001
6.997596373,6.948269309,50000000,20,0.0000001
2.985140147,1.870456999,50000000,20,0.0000001
4.97626128,5.794094101,49999980,30,0.0000001
4.034485802,4.459574856,49999980,30,0.0000001
7.897378865,5.308434528,49999980,30,0.0000001
6.024112011,7.235371837,49999980,30,0.0000001
4.071906909,4.461351471,49999980,30,0.0000001
1.990373956,2.069266586,49999980,30,0.0000001
3.103613103,3.22148918,49999980,30,0.0000001
7.12333061,6.336648716,49999980,30,0.0000001
