True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
6.097139126,7.244935594,49999980,30,0.0000001
5.981934824,7.243431828,49999980,30,0.0000001
4.953720865,5.79731786,49999980,30,0.0000001
2.974991975,3.220867464,49999980,30,0.0000001
7.116132633,8.811110618,49999980,30,0.0000001
2.067327025,2.071420924,49999980,30,0.0000001
7.957151117,7.880707468,49999980,30,0.0000001
8.986135429,12.41487887,49999980,30,0.0000001
0.956862965,1,49999980,30,0.0000001
4.045987095,4.459450746,49999980,30,0.0000001
8.071334186,10.53397977,49999980,30,0.0000001
7.145803725,6.35060249,49999980,30,0.0000001
7.940586528,5.395072394,49999980,30,0.0000001
2.025281905,2.071401323,49999980,30,0.0000001
3.997551748,4.460559148,49999980,30,0.0000001
1.980529138,2.070972602,49999980,30,0.0000001
7.000731974,6.350023388,49999980,30,0.0000001
2.024830399,2.068381453,49999980,30,0.0000001
5.927397844,7.245808375,49999980,30,0.0000001
3.996954158,4.457619808,49999980,30,0.0000001
5.980671279,7.24358353,49999980,30,0.0000001
3.970838978,4.456144038,49999980,30,0.0000001
1.926190361,2.07123129,49999980,30,0.0000001
5.970865815,7.236709588,49999980,30,0.0000001
4.950213793,3.976425804,49999980,30,0.0000001
1.99865037,2.066458393,49999980,30,0.0000001
8.025812662,7.839477848,49999980,30,0.0000001
6.047070771,7.244949673,49999980,30,0.0000001
4.99302408,5.795968415,49999980,30,0.0000001
1.022218964,1,49999980,30,0.0000001
4.066976461,4.459057922,49999980,30,0.0000001
5.141027666,5.795760508,49999980,30,0.0000001
2.979189099,1.869837383,49999980,30,0.0000001
5.005837885,5.797831258,49999980,30,0.0000001
4.901703379,5.79769776,49999980,30,0.0000001
1.963346429,2.071230712,49999980,30,0.0000001
5.056945766,5.794657018,49999980,30,0.0000001
4.855723451,2.942708283,49999980,30,0.0000001
4.005943597,4.461372481,49999980,30,0.0000001
6.004454115,7.247075271,49999980,30,0.0000001
8.196582679,7.789711681,49999980,30,0.0000001
7.978098537,10.52935679,49999980,30,0.0000001
4.921628824,5.791080991,49999980,30,0.0000001
3.033187565,3.218896105,49999980,30,0.0000001
3.011562265,3.220784691,49999980,30,0.0000001
0.953593131,1,49999980,30,0.0000001
5.92055621,7.248267359,49999980,30,0.0000001
2.008431113,2.071253706,49999980,30,0.0000001
8.010340666,7.770374245,49999980,30,0.0000001
1.023998528,1,49999980,30,0.0000001
7.089457707,8.819733137,49999980,30,0.0000001
5.958936755,5.035534501,49999980,30,0.0000001
4.070754829,4.460711799,49999980,30,0.0000001
8.091143228,6.133856839,49999980,30,0.0000001
3.060344091,3.220825725,49999980,30,0.0000001
5.019771197,3.855701782,49999980,30,0.0000001
2.005029693,2.071267332,49999980,30,0.0000001
4.950703837,5.793667788,49999980,30,0.0000001
3.005229544,3.218001806,49999980,30,0.0000001
3.976168686,4.456383268,49999980,30,0.0000001
5.032991587,5.79475827,49999980,30,0.0000001
3.000614685,3.218155555,49999980,30,0.0000001
7.007562933,6.527952494,49999980,30,0.0000001
5.870807895,7.247929009,49999980,30,0.0000001
2.979062149,3.220445757,49999980,30,0.0000001
6.961875875,5.025543277,49999980,30,0.0000001
6.063943035,7.243539433,49999980,30,0.0000001
9.974437426,7.558699276,49999980,30,0.0000001
2.949753915,3.217288468,49999980,30,0.0000001
2.064720635,2.071414236,49999980,30,0.0000001
5.840077398,3.965622359,49999980,30,0.0000001
5.100651763,5.798610379,49999980,30,0.0000001
6.005877467,5.212513094,49999980,30,0.0000001
6.92863347,8.815503748,49999980,30,0.0000001
10.96683123,13.10087998,49999980,30,0.0000001
1.939016397,2.071053382,49999980,30,0.0000001
5.14505649,5.798410749,49999980,30,0.0000001
8.00164564,7.662605685,49999980,30,0.0000001
5.030350265,5.786626805,49999980,30,0.0000001
6.955749462,6.493693403,49999980,30,0.0000001
6.118106914,5.099211247,49999980,30,0.0000001
7.158517384,6.529917371,49999980,30,0.0000001
4.984764726,5.793301357,49999980,30,0.0000001
5.932888374,7.240354913,49999980,30,0.0000001
4.041454786,4.456337987,49999980,30,0.0000001
7.009154524,6.231991776,50000000,40,0.0000001
6.94706748,6.188441128,50000000,40,0.0000001
2.885907522,3.162073726,50000000,40,0.0000001
2.074344268,2.052536913,50000000,40,0.0000001
4.030988058,2.731000913,50000000,40,0.0000001
5.0221228,5.565742625,50000000,40,0.0000001
2.97026423,3.158080611,50000000,40,0.0000001
3.963502741,4.3290151,50000000,40,0.0000001
5.161037319,5.5675555,50000000,40,0.0000001
