True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
6,5.117647059,49999980,30,0.0000001
7,8.826086957,49999980,30,0.0000001
11,13.04460967,49999980,30,0.0000001
2,2.071428571,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
8,7.86440678,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
6,5.117647059,49999980,30,0.0000001
7,6.429864253,49999980,30,0.0000001
5,5.8,49999980,30,0.0000001
6,7.25,49999980,30,0.0000001
4,4.461538462,49999980,30,0.0000001
7,6.144694534,50000000,40,0.0000001
7,6.144694534,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
4,2.785714286,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
4,4.333333333,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
0,,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
0,,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
4,2.785714286,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
8,7.428571429,50000000,40,0.0000001
7,6.144694534,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
4,2.785714286,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
7,6.144694534,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
7,6.144694534,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
8,7.428571429,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
4,2.785714286,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
4,4.333333333,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
5,3.823529412,50000000,40,0.0000001
